category,method,path,base_url,summary,tags,deprecated,official_docs
partner-api,GET,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/orders/info,https://api.partner.market.yandex.ru,Получение информации о возможности печати ярлыков,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/orders/transfer,https://api.partner.market.yandex.ru,Перенос заказов в следующую отгрузку,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/pallet/labels,https://api.partner.market.yandex.ru,Ярлыки для доверительной приемки,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,PUT,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/pallets,https://api.partner.market.yandex.ru,Передача количества упаковок для доверительной приемки,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/transportation-waybill,https://api.partner.market.yandex.ru,Получение транспортной накладной,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/hidden-offers,https://api.partner.market.yandex.ru,Информация о скрытых вами товарах,hidden-offers; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/campaigns/{campaignId}/hidden-offers,https://api.partner.market.yandex.ru,Скрытие товаров и настройки скрытия,hidden-offers; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/campaigns/{campaignId}/hidden-offers/delete,https://api.partner.market.yandex.ru,Возобновление показа товаров,hidden-offers; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/offer-prices,https://api.partner.market.yandex.ru,Список цен,prices; fby; fbs; dbs; express,True,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/campaigns/{campaignId}/offer-prices,https://api.partner.market.yandex.ru,Просмотр цен на указанные товары в конкретном магазине,prices; fby; fbs; dbs; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
